LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,BlockId
500,81109,203532,150,INFO,dfs.DataNode$DataXceiver,Receiving block blk_6309418393114897475 src: /10.251.31.160:46744 dest: /10.251.31.160:50010,E5,Receiving block <*> src: /<*> dest: /<*>,blk_6309418393114897475
571,81109,203532,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000035_0/part-00035. blk_6309418393114897475,E22,BLOCK* NameSystem.allocateBlock:<*>,blk_6309418393114897475
657,81109,203533,150,INFO,dfs.DataNode$DataXceiver,Receiving block blk_6309418393114897475 src: /10.251.107.19:33361 dest: /10.251.107.19:50010,E5,Receiving block <*> src: /<*> dest: /<*>,blk_6309418393114897475
686,81109,203533,166,INFO,dfs.DataNode$DataXceiver,Receiving block blk_6309418393114897475 src: /10.251.31.160:59382 dest: /10.251.31.160:50010,E5,Receiving block <*> src: /<*> dest: /<*>,blk_6309418393114897475
1016,81109,203535,150,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-8588230903310885315 src: /10.251.122.65:55084 dest: /10.251.122.65:50010,E5,Receiving block <*> src: /<*> dest: /<*>,blk_-8588230903310885315
1187,81109,203535,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000116_0/part-00116. blk_-8588230903310885315,E22,BLOCK* NameSystem.allocateBlock:<*>,blk_-8588230903310885315
1201,81109,203536,150,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-8588230903310885315 src: /10.251.122.65:54999 dest: /10.251.122.65:50010,E5,Receiving block <*> src: /<*> dest: /<*>,blk_-8588230903310885315
1206,81109,203536,151,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-8588230903310885315 src: /10.251.122.79:37023 dest: /10.251.122.79:50010,E5,Receiving block <*> src: /<*> dest: /<*>,blk_-8588230903310885315
1442,81109,203538,154,INFO,dfs.DataNode$DataXceiver,Receiving block blk_2585807940696131461 src: /10.251.194.129:40809 dest: /10.251.194.129:50010,E5,Receiving block <*> src: /<*> dest: /<*>,blk_2585807940696131461
1443,81109,203538,154,INFO,dfs.DataNode$DataXceiver,Receiving block blk_2585807940696131461 src: /10.251.39.209:49812 dest: /10.251.39.209:50010,E5,Receiving block <*> src: /<*> dest: /<*>,blk_2585807940696131461
1457,81109,203538,157,INFO,dfs.DataNode$DataXceiver,Receiving block blk_2585807940696131461 src: /10.251.39.209:40132 dest: /10.251.39.209:50010,E5,Receiving block <*> src: /<*> dest: /<*>,blk_2585807940696131461
1493,81109,203538,30,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000351_0/part-00351. blk_2585807940696131461,E22,BLOCK* NameSystem.allocateBlock:<*>,blk_2585807940696131461
2514,81109,203605,151,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_6309418393114897475 terminating,E11,PacketResponder <*> for block <*> terminating,blk_6309418393114897475
2516,81109,203605,151,INFO,dfs.DataNode$PacketResponder,Received block blk_6309418393114897475 of size 67108864 from /10.251.107.19,E9,Received block <*> of size <*> from /<*>,blk_6309418393114897475
2556,81109,203605,168,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_6309418393114897475 terminating,E11,PacketResponder <*> for block <*> terminating,blk_6309418393114897475
2557,81109,203605,168,INFO,dfs.DataNode$PacketResponder,Received block blk_6309418393114897475 of size 67108864 from /10.251.31.160,E9,Received block <*> of size <*> from /<*>,blk_6309418393114897475
2588,81109,203605,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.107.19:50010 is added to blk_6309418393114897475 size 67108864,E26,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,blk_6309418393114897475
2617,81109,203606,151,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_6309418393114897475 terminating,E11,PacketResponder <*> for block <*> terminating,blk_6309418393114897475
2622,81109,203606,151,INFO,dfs.DataNode$PacketResponder,Received block blk_6309418393114897475 of size 67108864 from /10.251.31.160,E9,Received block <*> of size <*> from /<*>,blk_6309418393114897475
2711,81109,203606,30,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.31.160:50010 is added to blk_6309418393114897475 size 67108864,E26,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,blk_6309418393114897475
2727,81109,203606,33,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.66.192:50010 is added to blk_6309418393114897475 size 67108864,E26,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,blk_6309418393114897475
3582,81109,203615,155,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_2585807940696131461 terminating,E11,PacketResponder <*> for block <*> terminating,blk_2585807940696131461
3584,81109,203615,155,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_2585807940696131461 terminating,E11,PacketResponder <*> for block <*> terminating,blk_2585807940696131461
3585,81109,203615,155,INFO,dfs.DataNode$PacketResponder,Received block blk_2585807940696131461 of size 67108864 from /10.251.194.129,E9,Received block <*> of size <*> from /<*>,blk_2585807940696131461
3586,81109,203615,155,INFO,dfs.DataNode$PacketResponder,Received block blk_2585807940696131461 of size 67108864 from /10.251.39.209,E9,Received block <*> of size <*> from /<*>,blk_2585807940696131461
