BlockId,NumEvents,Label,Pipeline_Prediction,Pipeline_Explanation,Pipeline_Confidence
blk_8716244237763720958,13,1,1,missing-store-update,0.78
blk_6291404884140655419,13,1,1,late-replication,0.74
blk_8751446418791214913,13,1,1,inconsistent-traffic,0.69
blk_4961970861863065608,13,1,0,normal-pattern,0.55
blk_3888635850409849568,14,1,1,unexpected-termination,0.82
blk_-3842070622043972712,16,1,1,unstable-node,0.76
blk_-2437547284244111497,13,1,0,benign-duplicate,0.58
blk_-423065043106849758,13,1,0,normal-sequence,0.62
blk_8491971867438278117,13,1,1,irregular-receiver,0.73
blk_8464056021668582878,13,1,1,replica-mismatch,0.71
blk_8582970738191859541,13,1,0,consistent-events,0.59
blk_8748609602444106276,13,1,0,no-risk-pattern,0.57
blk_-4560669296456646716,13,1,0,low-impact-issue,0.54
blk_8782208400278719319,13,1,0,normal-timing,0.60
blk_8246640784664624144,13,1,0,stable-flow,0.63
blk_9097589278338830437,13,1,1,delayed-ack,0.77
blk_8729768707867317330,13,1,0,minor-deviation,0.56
blk_448592873889985922,13,1,1,abrupt-switch,0.75
blk_8869736409186522879,13,1,1,queued-failure,0.79
blk_-967996491121599783,13,1,1,replication-stall,0.72
blk_-6807617704355293530,16,1,1,excessive-retries,0.81
blk_-5462418187886984774,16,1,1,late-write,0.80
blk_4966276028193818154,13,1,0,benign-fluctuation,0.55
blk_7999241143716748934,13,1,1,dropout-pattern,0.73
blk_5647191344005583177,20,1,0,tolerable-variance,0.52
blk_8251359911027527969,15,1,0,normal-cycle,0.57
blk_7985524981839863080,14,1,0,stable-events,0.61
blk_-4636159087827707811,13,1,0,no-critical-signal,0.58
blk_1692120908097027760,13,1,1,receiver-switch,0.74
blk_6778948312309528424,13,1,0,regular-intervals,0.56
blk_-250264036841950616,13,0,0,normal-pattern,0.91
blk_-529561454604787020,13,0,0,stable-block,0.89
blk_1764313912257036874,13,0,0,expected-flow,0.93
blk_-836233151529212612,13,0,0,benign-behavior,0.90
blk_2585807940696131461,16,0,0,no-anomaly,0.88
blk_5832875395380367188,13,0,0,consistent-traffic,0.92
blk_3880235219238735082,13,0,0,steady-sequence,0.94
blk_615202211455656487,13,0,0,normal-cycle,0.90
blk_3207545031261618191,13,0,0,standard-pattern,0.88
blk_4570337774005641311,13,0,0,normal-logs,0.91
blk_6420857752883092988,13,0,0,benign-sequence,0.87
blk_350696426895410369,13,0,0,stable-replication,0.92
blk_-1738283557460552416,13,0,0,no-risk,0.89
blk_8720005406020789554,13,0,0,expected-events,0.90
blk_1113822473565022381,13,0,0,clean-flow,0.93
blk_-1954051922809122540,13,0,0,normal-pattern,0.88
